ID,priceTotal,pricePolicy,priceIPT,priceNet
475,82.75,82.75,13.79,46.31
476,88.88,88.88,14.82,49.67
477,97.4,97.4,16.24,54.40
478,109.51,109.51,18.26,60.34
479,120.68,120.68,20.12,67.40
480,149.89,149.89,24.99,83.73
481,178.99,178.99,29.84,100.03
482,208.11,208.11,34.69,116.24
483,237.3,237.3,39.56,132.62
607,107.57,107.57,17.93,60.18
608,115.55,115.55,19.26,64.57
609,126.62,126.62,21.11,70.75
610,142.35,142.35,23.73,78.42
611,156.9,156.9,26.16,87.63
612,194.85,194.85,32.48,108.85
613,232.68,232.68,38.79,130.04
614,270.57,270.57,45.10,151.10
615,308.47,308.47,51.42,172.41
549,165.51,165.51,27.59,92.59
550,177.76,177.76,29.63,99.33
551,194.83,194.83,32.48,108.85
552,218.99,218.99,36.51,120.65
553,241.38,241.38,40.24,134.80
708,299.76,299.76,49.97,167.43
709,357.98,357.98,59.67,200.07
710,416.24,416.24,69.39,232.50
711,474.56,474.56,79.11,265.23
653,227.57,227.57,37.94,127.33
654,244.44,244.44,40.75,136.60
655,267.88,267.88,44.66,149.67
656,301.12,301.12,50.20,165.88
657,331.9,331.9,55.33,185.34
716,412.18,412.18,68.71,230.25
717,492.22,492.22,82.05,275.13
718,572.34,572.34,95.41,319.68
719,652.54,652.54,108.78,364.72
667,268.95,268.95,44.83,150.47
668,288.89,288.89,48.16,161.42
669,316.57,316.57,52.77,176.85
759,355.86,355.86,59.32,196.06
758,392.26,392.26,65.39,219.07
724,487.12,487.12,81.20,272.10
725,581.71,581.71,96.97,325.14
726,676.38,676.38,112.75,377.79
727,771.2,771.2,128.56,431.04
677,310.33,310.33,51.73,173.64
678,333.34,333.34,55.57,186.24
679,365.28,365.28,60.89,204.07
680,410.61,410.61,68.45,226.21
681,452.59,452.59,75.45,252.79
732,562.07,562.07,93.70,313.97
733,671.21,671.21,111.89,375.16
734,780.45,780.45,130.10,435.92
735,889.81,889.81,148.33,497.36
37,41.59,41.59,3.52,25.05
38,53.23,53.23,4.51,31.36
39,58.91,58.91,4.99,33.79
40,65.02,65.02,5.51,37.07
41,102.05,102.05,8.64,58.20
42,113.39,113.39,9.60,64.66
43,121.9,121.9,10.32,69.52
44,126.92,126.92,10.75,72.75
45,158.87,158.87,13.46,88.76
46,208.63,208.63,17.67,115.69
47,252.43,252.43,21.38,139.40
48,299.32,299.32,25.35,166.43
49,351.85,351.85,29.80,193.35
50,404.21,404.21,34.24,221.73
51,454.02,454.02,38.46,248.70
52,507.05,507.05,42.95,278.88
53,542.98,542.98,45.99,304.11
54,597.65,597.65,50.62,332.86
254,654.21,654.21,55.41,365.82
255,719.1,719.1,60.91,402.08
256,790.66,790.66,66.97,441.93
302,54.58,54.58,4.62,32.11
303,68.79,68.79,5.83,40.32
304,76.14,76.14,6.45,43.48
305,84.06,84.06,7.12,47.74
306,132.5,132.5,11.22,75.27
307,147.21,147.21,12.47,83.63
308,158.25,158.25,13.40,89.90
309,164.18,164.18,13.91,94.08
310,205.55,205.55,17.41,114.93
311,270,270,22.87,149.95
312,326.71,326.71,27.67,180.78
313,387.41,387.41,32.81,215.89
314,455.45,455.45,38.58,250.91
315,523.25,523.25,44.32,287.78
316,587.74,587.74,49.78,322.86
317,655.7,655.7,55.54,359.81
318,702.93,702.93,59.54,394.90
319,773.71,773.71,65.53,432.26
320,853.78,853.78,72.32,475.09
321,938.47,938.47,79.49,522.25
322,1,031.87,1,031.87,87.40,574.07
400,83.09,83.09,7.04,48.59
401,104.74,104.74,8.87,61.21
402,115.94,115.94,9.82,66.10
403,128.01,128.01,10.84,72.61
404,202.84,202.84,17.18,115.05
405,225.39,225.39,19.09,127.83
406,236.66,236.66,20.05,134.23
407,246.52,246.52,20.88,140.62
408,313.45,313.45,26.55,176.02
409,411.79,411.79,34.88,229.87
410,498.36,498.36,42.21,277.31
411,591.02,591.02,50.06,331.33
428,114.04,114.04,9.66,66.22
429,143.84,143.84,12.18,83.58
429,159.26,159.26,13.49,90.31
429,175.86,175.86,14.90,99.28
429,279.33,279.33,23.66,157.70
429,310.38,310.38,26.29,175.23
429,325.9,325.9,27.60,183.98
